STT,Tên bài hát,Tác giả,Thể loại
1195,Miền Tây Mãi Đỉnh,Kaydee,Pop
1196,Phép nhiệm màu,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
1197,Y Chang Xuân Sang,Nal,Nhạc trẻ
1198,Vô Thường,Lã Phong Lâm,Pop
1199,Nhớ về mẹ,Nguyễn Huy Điền,Nhạc trữ tình|Nguyễn Huy Điền
1200,Tóc ngang bờ vai,Vũ Tuấn Đức,Vũ Tuấn Đức|Nhạc trữ tình
1201,Hồi chuông kỉ niệm,Nguyễn Văn Đông,Trữ tình
1202,Kẻ Cắp Trái Tim,Đỗ Hiếu,Nhạc trẻ
1203,Tuừ độ ánh trăng tàn,Anh Bằng,Bolero
1204,Tình là giấc mơ,Khúc Lan,Nhạc ngoại lời Việt
1205,Chiều trên phá Tam Giang,Trần Thiện Thanh|Tô Thùy Yên,Tô Thùy Yên|Bolero|Trần Thiện Thanh
1206,Bông cỏ may,Trúc Phương,"Bolero, ĐQ Asia"
1207,Yêu một người,Khúc Lan,Nhạc ngoại lời Việt
1208,Đi Qua Hoa Cúc,TaynguyenSound,TaynguyenSound|Nhạc trẻ
1209,Điệu ru ca tình yêu,Giao Tiên|Hương Vũ,Nhạc trữ tình
1210,Bất Ngờ Em Buông Tay,Anh Thi,Nhạc Trẻ
1211,Chuyện tình mùa thu,Anh Bằng,Bolero
1212,Gánh tương tư,Ngọc Sơn,Ngọc Sơn|Bolero
1213,Thương Em Gái Miền Tây,Jin Tuấn Nam,Pop
1214,Ra giêng anh cưới em,Đăng Minh,Ca cổ
1215,Thương lắm miền Trung ơi,Sr. Hiền Hòa,Sr. Hiền Hòa|Nhạc thánh ca
1216,Đôi ngả đôi ta,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
1217,Thương Nhau Ngày Mưa,Nguyễn Trung Cang,"Bolero, ĐQ Asia"
1218,Anh Buông Tay Rồi Em Đi Đi,Đông Thiên Đức,Đông Thiên Đức|pop|Ballad
1219,Vương vấn,Minh Thùy,Ca cổ
1220,Rất Huế,Anh Bằng,Bolero
1221,Đi Sai Nước Cờ,Nguyễn Văn Trung,Pop
1222,Nói Cho Anh Biết Đi Em,Đông Thiên Đức,Đông Thiên Đức|pop|Ballad
1223,Dẫu Anh Không Nhìn Thấy,Đông Thiên Đức,Ballad|pop|Đông Thiên Đức
1224,Trắc Trở,Sinike,pop
1225,Ra Giêng Ta Cưới Thôi,Hào JK,"Pop, Ballad"
1226,Ái Nộ,Masew,Masew|pop
1227,Trái tim yêu,Lê Hựu Hà,Nhạc trữ tình|Lê Hựu Hà|Hoàng Tuấn
1228,Lý qua phà,Vinh Sử,Bolero
1229,Khóc mẹ đêm mưa,Anh Bằng,
1230,Cuộc sống xa nhà,Trung Ngon,Ballad|Trung Ngon
1231,Ba Ơi Đừng Xa Mẹ,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
1232,Tình yêu như mũi tên,Anh Bằng,Bolero
1233,Vùng trời ngày đó,Lam Phương,Lam Phương|Bolero
1234,Chú vịt bầu,Dami,Dami|Nhạc thiếu nhi
1235,Cảm Tạ Hồng Ân,Thế Thông,Thế Thông|Nhạc thánh ca
1236,Mù say say Thẩm mã Đèo,Ngô Sỹ Ngọc,Nhạc trữ tình
1237,Tình Yêu Cao Thượng 2,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
1238,Tâm sự mộng cầm,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
1239,Khúc Hát Thanh Xuân,Thế Thông,Nhạc thánh ca|Thế Thông
1240,Ngày tạm biệt,Lam Phương,Lam Phương|Bolero
1241,Nhớ Mẹ,Giác An,Phật giáo|Giác An
1242,Câu hát giữa hai đầu thương nhớ,Nguyễn Ngọc Thịnh,Nhạc trữ tình
1243,Đôi khi,Anh Bằng,Bolero
1244,Bà ơi,Nguyễn Văn Chung,Nhạc thiếu nhi
1245,Lá thư miền Trung,Lam Phương,Bolero|Lam Phương
1246,Bé đón tết sang,Nguyễn Văn Chung,
1247,Một căn nhà mướn,Vinh Sử,Bolero
1248,Đơn côi,Lam Phương,Bolero|Lam Phương
1249,Cho Những Gì Ta Yêu,TaynguyenSound,Nhạc trẻ|TaynguyenSound
1250,Đám Cưới,Trường Lê,Pop
1251,Ngôi nhà bánh kẹo,Nguyễn Văn Chung,Nhạc thiếu nhi
1252,Bên Ấy Bên Này,Hamlet Trương,Bolero
1253,Người anh giới tuyến,Duy Khánh,Bolero|Duy Khánh
1254,Hoàn Hảo,B Ray,Great Entertainment|Rap Việt
1255,Chân trời tím,Trần Thiện Thanh|Nguyễn Văn Hạnh,Bolero|Trần Thiện Thanh|Nguyễn Văn Hạnh
1256,Phượng yêu (Mùa hè ái ân),Khúc Lan,Nhạc Ngoại lời việt
1257,Chiều mưa qua sông,Hà Phương,
1258,Cuốn theo chiều gió,Nguyễn Văn Đông,Trữ tình
1259,Mưa tình cuối đông,Trúc Hồ,Nhạc trữ tình|Trúc Hồ
1260,Muôn Kiếp Nhân Sinh,Dee Trần,Nhạc Trẻ
1261,Hai lần dang dở,Vũ Phương,Vũ Phương|Bolero
1262,Sầu tím thiệp hồng,Minh Kỳ|Hoài Linh,"Bolero, ĐQ Asia"
1263,Tình muộn,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
1264,Một mình trong chiều vắng,Khúc Lan,Nhạc ngoại lời Việt
1265,Đợi người,Ngân Giang,Ngân Giang|Nhạc trữ tình
1266,Gặp nhau trên phố,Trịnh Lâm Ngân,Bolero
1267,Không Thích Thì Đi,Đông Thiên Đức,pop|Đông Thiên Đức|Ballad
1268,Những Ô Cửa Màu,TaynguyenSound,TaynguyenSound|Nhạc trẻ
1269,Phiến đá sầu,Diệu Hương,"Bolero, ĐQ Asia"
1270,Lần đầu nói dối,Giao Tiên,Bolero
1271,Quảng Bình yêu thương,Ngô Sỹ Ngọc,Nhạc trữ tình
1272,Giữ đạo làm con,Trường Sang,Nhạc trữ tình
1273,Tự Dưng,Lộn Xộn Band,Lộn Xộn Band|Nhạc trẻ
1274,Tình ca mùa xuân,Giao Tiên,Bolero
1275,Ra Bờ Sông,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
1276,Nguyện Làm Gió Theo Mây,Việt Quất,Pop
1277,Kiếp hoa,Giao Tiên,Bolero
1278,Ân tình cũ,Anh Bằng,Bolero
1279,Chuyện tình Lan và Điệp 2,Anh Bằng,
1280,Gặp bạn,Vinh Sử,Bolero
1281,Bến tương tư,Giao Tiên,Bolero
1282,Vũ Trụ Trong Anh,Sinike,Sinike|pop
1283,Vĩnh biệt,Lam Phương,Lam Phương|Bolero
1284,Môi tím,Khúc Lan,
1285,Ngày đó trên chiếc cầu,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
1286,Hai mươi năm tình cũ,Trần Quảng Nam,
1287,Bước Chân Chiều Chủ Nhật,Đỗ Kim Bảng,Nhạc vàng
1288,Tình người viễn xứ,Lam Phương,Lam Phương|Bolero
1289,Nỗi Niềm Người Ca Sĩ,Lục Hòa,Điệu Tango
1290,Nợ Duyên,Lý Bông Dừa,Ca cổ
1291,Yêu nhau bốn mùa,Lam Phương,Bolero|Lam Phương
1292,Tình yêu tuyệt vời,Lời Việt Khúc Lan,Nhạc ngoại
1293,Người em Vỹ Dạ (Người anh Vỹ Dạ),Anh Bằng,Bolero
1294,Hãy yêu nhau đi,Trúc Sinh|Lê Đức Long,Lê Đức Long|Nhạc trữ tình|Trúc Sinh
1295,Tình cơ,Vũ Phương,Vũ Phương|Bolero
1296,Trái tim còn trinh,Giao Tiên,Bolero
1297,Chốn Lao Xao,TaynguyenSound,Nhạc trẻ|TaynguyenSound
1298,Lỡ Chuyến Đò Ngang,Ngô Huỳnh,Ngô Huỳnh|Bolero
1299,Chẳng Còn Những Ngày Ấy,Huy Hiếu,Huy Hiếu|Ballad - pop
1300,Tình đẹp thiên thu,Giao Tiên,Bolero
1301,Phương Này Em Đợi,Vũ Xuân Hùng,Lời Việt|Vũ Xuân Hùng|Nhạc ngoại
1302,Yêu em thật đấy,Đinh Tùng Huy,Đinh Tùng Huy|Ballad
1303,Con đường Việt Nam,Anh Bằng,Bolero
1304,Đất mũi Cà Mau,Vinh Sử,Bolero
1305,Khóc Trong Tiếng Cười,Đông Thiên Đức,pop|Ballad|Đông Thiên Đức
1306,Đường về quê,Giao Tiên,Bolero
1307,Dù chỉ một lần thôi,Trúc Hồ,Trúc Hồ|Nhạc trữ tình
1308,Tìm nhau,Giao Tiên,Bolero
1309,Nếu tôi đưa em về,Anh Bằng,
1310,Trên đỉnh mùa đông,Lam Phương,Bolero|Lam Phương
1311,Tự Em Đa Tình,Huy Hiếu,Ballad - pop|Huy Hiếu
1312,Em luôn vẫn mơ,Nguyễn Huy Điền,Nhạc trữ tình|Nguyễn Huy Điền
1313,Người mang kỷ niệm,Hoài Phương,Trữ tình
1314,Dù Tình Phôi Pha,Đỗ Hiếu,Nhạc trẻ
1315,Kỷ niệm nào vội tan,Khúc Lan,Nhạc ngoại lời Việt
1316,Phải Quên Anh Thôi,Đỗ Hiếu,Nhạc trẻ
1317,Đừng Vì Cô Đơn,Đông Thiên Đức,Ballad|pop|Đông Thiên Đức
1318,Vấp ngã,Hoàng Văn Minh,Nhạc Trữ tình
1319,Trở về bên Chúa,Sr. Hiền Hòa,Sr. Hiền Hòa|Nhạc thánh ca
1320,Đến Với Nhau Là Sai,Đỗ Hiếu,Nhạc trẻ
1321,Vào Bếp,Nguyễn Văn Chung,Nhạc thiếu nhi
1322,Đêm mưa nhớ thầy,Danh Mã Phi Hùng,Nhạc Phật
1323,Hạ Đầu Tam Bái,Quách Duy Thái (Hoon),Pop
1324,Lãng Du,Vũ Xuân Hùng,Vũ Xuân Hùng|Lời Việt|Nhạc ngoại
1325,Nếu em là anh,Nguyễn Lê Việt Hùng,Nguyễn Lê Việt Hùng|Nhạc trẻ
1326,Con Đường,Lộn Xộn Band,Lộn Xộn Band|Nhạc trẻ
1327,Ru Ta Một Mình,Trịnh Lâm Ngân,Bolero
1328,Trái Cấm,Lương Gia Hùng,"Pop, Ballad"
1329,Phấn Hoa Màu Son,H-Kray,Pop
1330,Không cần hỏi thăm,Đinh Tùng Huy,Đinh Tùng Huy|Ballad
1331,Ngược lối ( Duyên phận),Ngọc Sơn,Ngọc Sơn|Bolero
1332,Đêm nay em thấy cô đơn (Đêm nay anh thấy cô đơn),Khúc Lan,Nhạc ngoại lời Việt
1333,Lỡ Có Yêu Nhau,Huỳnh Trung,"Pop, Ballad"
1334,Bài thơ đan áo,Anh Bằng,Bolero
1335,Bài ca tình nhớ,Khúc Lan,Nhạc ngoại lời Việt
1336,Yêu Đừng Có Nhây,Hana Cẩm Tiên,Ballad|pop|Hana Cẩm Tiên
1337,Bóng dáng thiên thần,Nguyễn Ngọc Thiện,Nhạc trữ tình|Nguyễn Ngọc Thiện|Hoàng Tuấn
1338,Thu vàng trên lối,Khúc Lan,Nhạc ngoại lời Việt
1339,Quên đi niềm đau,Dee Trần,Nhạc trẻ
1340,Giấc Mơ Một Cuộc Tình,Ưng Hoàng Phúc,Pop
1341,Lý con sáo,Vinh Sử,Bolero
1342,Nắng Cũ,Jin Tuấn Nam,Pop
1343,Khi ta xa rời nhau,Trúc Hồ,Nhạc trữ tình|Trúc Hồ
1344,Mặc Duyên Mặc Phận,Đông Thiên Đức,Đông Thiên Đức|pop|Ballad
1345,Cơn mưa trong đời,Khúc Lan,Nhạc ngoại lời Việt
1346,Tiếng hát hậu phương,Anh Bằng,Bolero
1347,Cho anh xin số nhà,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
1348,Hương Rừng,TaynguyenSound,TaynguyenSound|Nhạc trẻ
1349,Tròn câu hẹn ước,Huỳnh Thanh Hiền,Trữ Tình
1350,Mãi yêu người thôi,Trúc Hồ,Nhạc trữ tình|Trúc Hồ
1351,Cháu Con Tiên Rồng Ngại Gì Corona,Nguyên Jenda,Nguyên Jenda|pop
1352,Khi mình xa nhau,Anh Bằng,
1353,Tình Trăng,Giác An,Giác An|Phật giáo
1354,Trời Huế vào thu chưa em,Trịnh Lâm Ngân,
1355,Dư âm,Nguyễn Văn Tý,
1356,Đừng Đi,Đỗ Hiếu|Dương Khắc Linh,Nhạc trẻ
1357,Yêu Không Hối Tiếc,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
1358,Mưa,Ngân Giang,Ngân Giang|Nhạc trữ tình
1359,Người thương binh,Anh Bằng,Bolero
1360,Cô Đơn Một Vì Sao,Ưng Hoàng Phúc,Pop
1361,Người đi,Ngọc Loan,Nhạc trữ tình|Ngọc Loan
1362,Lòng Cha từ ái,Sr. Hiền Hòa,Sr. Hiền Hòa|Nhạc thánh ca
1363,Không Nên Tin Vào Tình Yêu,Trần Đăng Quang,Nhạc trẻ|Trần Đăng Quang
1364,Chuyện buồn ngày xuân,Lam Phương,Bolero|Lam Phương
1365,Đèn đỏ đèn xanh,Nguyễn Văn Chung,Nhạc thiếu nhi
1366,Thư người lính trận,Hàn Châu,Hàn Châu|Bolero
1367,Dấu đạn thù trên tường vôi trắng,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
1368,Nhất Thế Giới Là Em,BÌN,Pop
1369,Nhạt Nhòa,Đỗ Hiếu,Nhạc trẻ
1370,Là Sao Em Ơi?,Bùi Công Nam,Nhạc trẻ
1371,Dại Khờ,NB3 Hoài Bảo,Nhạc trẻ
1372,Lý chim quyên,Diệp Vàm Cỏ,Ca cổ
1373,Đám Cưới Người Yêu,Ngô Huỳnh,Bolero|Ngô Huỳnh
1374,Hồn Cứu Long,Nguyễn Cường Thịnh (Jombie),Pop
1375,Khi ta rời xa nhau,Trúc Hồ,Nhạc trữ tình|Trúc Hồ
1376,Bạn Lòng,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
1377,Trái mồng tơi,Vinh Sử,Bolero
1378,Người em Vỹ Dạ (Người anh Vỹ Dạ),Anh Bằng,
1379,Em Mình Ơi,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
1380,Xin lỗi mẹ,Giao Tiên|Hương Vũ,Nhạc trữ tình
1381,Việt Nam Muôn Năm,BÌN,POP
1382,Oan Khúc Phụ Tình,Dee Trần,Nhạc Hoa Lời Việt
1383,Mong manh cuộc tình,Khúc Lan,Nhạc ngoại lời Việt
1384,Lá thư miền Trung,Lam Phương,Lam Phương|Bolero
1385,Mẹ gò công ( Người mẹ gò công),Hoàng Phương,Bolero
1386,Xa mối tình đầu (Đoạn tái bút 2),Bằng Giang|Tú Nhi,Bolero|Bằng Giang|Tú Nhi
1387,Tiễn người đi,Lam Phương,Lam Phương|Bolero
1388,Ngày này năm trước,Phượng Linh,Trữ tình
1389,Tìm Được Nhau Khó Thế Nào (OST Chìa Khóa Trăm Tỷ),Bùi Công Nam,Nhạc trẻ
1390,Là Con Gái Phải Xinh,Đỗ Hiếu,Nhạc trẻ
1391,Hôm Nay Con Bận Rồi,Bùi Công Nam,Nhạc trẻ
1392,Nỗi Buồn Chim Sáo,Giao Tiên,Nhạc trữ tình
1393,Đêm kỷ niệm,Ngân Giang,Nhạc trữ tình|Ngân Giang
1394,Con mèo lười,Nguyễn Văn Tý,Nhạc thiếu nhi
1395,Hoa Mân Côi,Nguyên Minh,Thánh ca
1396,Hối Duyên,Masew,pop|Masew
1397,Thê Tử,Kim Kim Gà,Ballad|Kim Kim Gà
1398,Goá phụ ngây thơ,Trần Thiện Thanh|Hà Huyền Chi,Bolero|Trần Thiện Thanh|Hà Huyền Chi
1399,Trở Về,Vĩnh Phúc,Nhạc thánh ca
1400,Still In Love,Nguyễn Huy Điền,Nguyễn Huy Điền|Nhạc trữ tình
1401,Niệm Tứ Ân,Giác An,Phật giáo|Giác An
1402,Những điều con yêu,Nguyễn Văn Chung,Nhạc thiếu nhi
1403,Thương bà con bão lũ về,Danh Mã Phi Hùng,Nhạc Trữ Tình
1404,Mời Trầu,Masew|APJ,APJ|Masew|pop
1405,Ngẫu Nhiên,TaynguyenSound,TaynguyenSound|Nhạc trẻ
1406,Chiếc cầu chiều mưa,Hoàng Phương,Bolero
1407,Sweet Home,Dương Khắc Linh|Hương Tràm,"Pop, Ballad"
1408,Sám hối cuộc đời,Hoàng Văn Minh,Nhạc Trữ tình
1409,Cô Thắm Không Về,Sinike,pop
1410,Xin Đừng Buông Tay,Đỗ Hiếu,Nhạc trẻ
1411,Giếng nước cây đa,Nguyễn Cửu Dũng,Nhạc trữ tình|Nguyễn Cửu Dũng
1412,Ta Đã Từng Yêu,Nguyễn Quốc Cường|Nhạc Nước Ngoài,Nhạc trẻ
1413,Lưng Chừng Hạnh Phúc,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
1414,Bông Chiều Tím,Quang Mạnh,Quang Mạnh
1415,Phút giao mùa,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
1416,Mãi yêu người,Lê Quang,Nhạc trữ tình|Lê Quang|Hoàng Tuấn
1417,Muôn Nẻo Từ Bi,Dee Trần,Nhạc Hoa Lời Việt
1418,Vài Giây Nữa Thôi,Reddy,Nhạc trẻ
1419,Lý qua cầu,Vinh Sử,Bolero
1420,Hồi chuông xóm đạo,Anh Bằng,
1421,Cho kỷ niệm mùa đông,Anh Bằng,
1422,Bếp Ấm Ngày Tết,Bùi Công Nam,Nhạc trẻ
1423,Tôi không còn yêu em,Vũ Tuấn Đức,Vũ Tuấn Đức|Nhạc trữ tình
1424,Không Thể Đổi Thay,Đỗ Hiếu,Nhạc trẻ
1425,Tiếng đàn,An Thuyên,Dân ca
1426,Xin trả lại em,Vũ Tuấn,Vũ Tuấn|Bolero
1427,Nếu em đã theo anh về (Giấc mơ tuyệt vời),Tuấn Hải,
1428,Mlem Iu Anh,BÌN,pop|BÌN
1429,Lửa mùa hạ,Trịnh Lâm Ngân,Bolero
1430,Bằng Lăng Tím Buồn,Đông Phương Tường,Bolero
1431,Cám dỗ,Anh Bằng,Bolero
1432,Lính dù lên điểm,Anh Bằng,Bolero
1433,Chúc thầy Thích Minh Tuệ vạn sự bình an,Danh Mã Phi Hùng,Nhạc Phật
1434,Em mãi còn tình đầu,Anh Bằng,Bolero
1435,Những người vượt gian khổ,Ngân Giang,Nhạc trữ tình|Ngân Giang
1436,Đếm Giọt Sầu Rơi,Vinh Sử,Bolero
1437,Huyền thoại Ngọc Lan,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
1438,Hẹn ngày con về,Hoàng Văn Minh,Nhạc Trữ Tình
1439,Ai Ơi,Đạt Ozy,Pop
1440,Mười năm áo tím,Anh Bằng,Bolero
1441,Mẹ Em Nhắc Anh,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
1442,Nhà mình chung vách,Vinh Sử,Bolero
1443,Đa tạ tình đời,Anh Bằng,Bolero
1444,Tình Yêu Mùa Hạ,Jang Mi,Nhạc Hoa Lời Việt
1445,Nghéo tay nhau thề,Vinh Sử,Bolero
1446,Tạ ơn mẹ,Lam Phương,Bolero|Lam Phương
1447,Đoàn người lữ thứ,Lam Phương,Bolero|Lam Phương
1448,Xin Má Rước Dâu,Lương Gia Hùng,Pop
1449,Đám cưới nhà binh,Anh Bằng,Bolero
1450,Gía Như Anh Lặng im,Nguyên Jenda,pop|Nguyên Jenda
1451,Chợ Đêm Miền Tây,Trần Trịnh,Bolero
1452,Sao Chẳng Thể Vì Em,Đỗ Hiếu,Nhạc trẻ
1453,Người yêu và sắc áo,Ngọc Sơn,Bolero|Ngọc Sơn
1454,Cảm Ơn Em Đã Đến,Quang Hùng MasterD,Quang Hùng MasterD|Ballad|Rap
1455,Mắc Cưới Lắm Rồi,Jin Tuấn Nam,Pop
1456,Niềm đau dĩ vãng,Phượng Linh,Trữ tình
1457,Mah Boo,Tăng Duy Tân,Great Entertainment
1458,Bụi Trần [Kiếp Nhân Sinh],Tâm Tâm,"Pop, Ballad"
1459,Lời hứa vu vơ,Khúc Lan,Nhạc ngoại lời Việt
1460,Đoạn đường cuối,Jin Tuấn Nam,Pop
1461,Cơn Mưa Định Mệnh,Anh Thi,Ballad
1462,Huế ơi,Nguyễn Cửu Dũng,Nguyễn Cửu Dũng|Nhạc trữ tình
1463,Đừng nói xa nhau,Châu Kỳ,"Bolero, ĐQ Asia"
1464,Tiếng chuông ngân,Khúc Lan,
1465,Cõi buồn,Anh Bằng,Bolero
1466,Khóc Bằng Nụ Cười,Đỗ Hiếu,Nhạc trẻ
1467,Yêu Là Khi,Vĩnh Phúc,Nhạc thánh ca
1468,Miền Hạnh Phúc,Đông Thiên Đức,Đông Thiên Đức|pop|Ballad
1469,Phương Xa Nhớ Mẹ,Đông Thiên Đức,Ballad|pop|Đông Thiên Đức
1470,Cô Đơn Một Vì Sao,Ưng Hoàng Phúc,Pop
1471,Nụ hôn biệt ly (Take me to your heart),Khúc Lan,Nhạc ngoại lời Việt
1472,Chỉ là phù du thôi,Trúc Hồ,Trúc Hồ|Nhạc trữ tình
1473,Cầu tre kỷ niệm,Vinh Sử,
1474,LayLaLay,Trịnh Trần Phương Tuấn (Jack),Trịnh Trần Phương Tuấn (Jack)|Nhạc trẻ
1475,Hồi chuông nửa đêm,Nguyễn Văn Đông,Trữ tình
1476,Người ở lại buồn,Anh Bằng,Bolero
1477,Cơn mưa chiều,Thanh Triết,Thanh Triết|Bolero
1478,Gà mái và đàn con,Nguyễn Văn Chung,Nhạc thiếu nhi
1479,Mây Phương Nam,Nguyễn Cường Thịnh (Jombie),Pop
1480,Đừng Xa Em Đêm Nay,Đức Huy,"Bolero, ĐQ Asia"
1481,Muốn Quên,Trần Trịnh,Bolero
1482,Người Yêu Cô Đơn,Đài Phương Trang,"Bolero, ĐQ Asia"
1483,Gánh nhau trong đời,Phạm Hưng,Phạm Hưng|Bolero
1484,Tình Cha Cho Con,Thế Thông,Thế Thông|Nhạc thánh ca
1485,Đừng hỏi vì sao,Lê Đức Long|Sỹ Đan,"Bolero, ĐQ Asia"
1486,Đôi mắt quê hương,Hoàng Phương,Nhạc trữ tình
1487,Quê hương bốn mùa,Giao Tiên,Bolero
1488,Đưa em về bên đó,Bằng Giang,
1489,"Hãy đến bên em (Comme Toi, Hãy đến bên anh)",Khúc Lan,Nhạc ngoại lời Việt
1490,Mộng đẹp ngày xưa,Sophie Trần,Nhạc trẻ
1491,Con Nương Tựa Phật,Thích Nhật Từ,Nhạc phật giáo
1492,"Quê Hương Ơi, Thôi Đành Xa",Trịnh Lâm Ngân,Bolero
1493,Hương Trấu,TaynguyenSound,Nhạc trẻ|TaynguyenSound
1494,Giọt Men Tình,Lý Bông Dừa,Ca cổ
1495,Bao La Lòng Mẹ,Giác An,Giác An|Phật giáo
1496,Sân Khấu,Trần Trịnh,Bolero
1497,Sao Em Làm Được,Đông Thiên Đức,pop|Ballad|Đông Thiên Đức
1498,Vầng trăng đợi chờ,Hoàng Phương,Bolero
1499,Chỉ là giấc mơ,Vinh Sử,Bolero
1500,Rừng khuya,Lam Phương,Lam Phương|Bolero
1501,Vẫn mãi yêu em,Khúc Lan,Nhạc ngoại lời Việt
1502,Mùa hè năm ấy,Khúc Lan,Nhạc ngoại lời Việt
1503,Nghéo tay nhau thề (Ngoéo tay nhau thề),Vinh Sử,Bolero
1504,Thói Đời 2,Đông Phương Tường,Bolero
1505,Biển chiều,Lê Quang,Nhạc trữ tình|Hoàng Tuấn|Lê Quang
1506,Sầu tương tư,Giao Tiên|Hương Vũ,Nhạc trữ tình
1507,Muôn kiếp là anh em,Du Thiên,Ballad| Du Thiên
1508,"Thôi Trễ Rồi, Chắc Anh Phải Về Đây",TaynguyenSound,Nhạc trẻ|TaynguyenSound
1509,Rượu Tình,Nam Đức,Nhạc trẻ|Nam Duc
1510,Tình em ngọn nến (Tình anh ngọn nến),Khúc Lan,Nhạc ngoại lời Việt
1511,Mẹ Về Trời,Thế Thông,Thế Thông|Nhạc thánh ca
1512,Quê Hương Tình Mẹ,Giác An,Phật giáo|Giác An
1513,Chúa và Con,Thế Thông,Nhạc thánh ca|Thế Thông
1514,Cho đẹp lòng nhau,Giao Tiên,Bolero
1515,Thế Giới Trong Em,Sinike,pop|Sinike
1516,Giọt nắng tình say,Phạm Hưng,Bolero|Phạm Hưng
1517,Đồng Xanh,Dương Khắc Linh,"Pop, Ballad"
1518,Yêu,Anh Bằng,Bolero
1519,Vương Thúy Kiều,Anh Bằng,Bolero
1520,Em Anh Và Cô Ấy,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
1521,Chắp tay nguyện cầu,Lam Phương,Lam Phương|Bolero
1522,Tình Cha,Giác An,Giác An|Phật giáo
1523,Tiếng mưa buồn,Khúc Lan,Nhạc ngoại lời Việt
1524,Xa dấu tình hồng,Bằng Giang,Bolero
1525,Người tình ơi đừng xa,Khúc Lan,Nhạc ngoại lời Việt
1526,Quay đầu hoàn lương,Hoàng Văn Minh,Nhạc Trữ tình
1527,Vắng Bóng Mẹ Rồi,Ngô Huỳnh,Ngô Huỳnh|Bolero
1528,Thương Lắm Cỏ Ơi,Từ Như Tài,Nhạc trữ tình
1529,Đầu năm đi lễ,Ngọc Sơn,Ngọc Sơn|Bolero
1530,Đến Sau Một Người,Lý Bông Dừa,Ca cổ
1531,Mùa xuân của chúng mình,Tuấn Hải,Bolero
1532,Em hứa thế nào,Như Việt,Như Việt|Ballad
1533,Cưới em,Hùng Linh,
1534,Một Đời Phong Ba,Đông Thiên Đức,pop|Ballad|Đông Thiên Đức
1535,Tay vịn Cần Thơ,Phan Ni Tấn,Nhạc trữ tình
1536,Cuộc tình cay đắng,Nguyễn Ngọc Thiện,Hoàng Tuấn|Nguyễn Ngọc Thiện|Nhạc trữ tình
1537,Căn Gác Trống,Nguyễn Quang Hưng,Pop
1538,Tình sử Huyền Trân,Giao Tiên,Bolero
1539,Tình Yêu Diệu Kỳ,Vĩnh Phúc,Nhạc thánh ca
1540,Chuyện thuyền từ ly,Hoàng Phương,Nhạc trữ tình
1541,Tìm Về Đường Sáng,Giác An,Phật giáo|Giác An
1542,Huế Nhớ O,Anh Bằng,Bolero
1543,Xứ Nghệ mình ơi,Ngô Sỹ Ngọc,Nhạc trữ tình
1544,biet iu 1 nguoi,Winno,Rap
1545,Thế đời,Viên Nghiệp,Viên Nghiệp|Bolero
1546,Tình mẹ bao la,Nguyễn Ngọc Thịnh,Nhạc trữ tình
1547,Kẻ đi rong,Hoàng Cầm|Nguyên Chi,Bolero
1548,Mẹ Mở Mắt Ra Đi,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
1549,Nàng BURAM (Tâm sự nàng Buram),Ngân Giang|Vinh Sử,Nhạc trữ tình|Vinh Sử|Ngân Giang
1550,Xuân ơi xuân ơi,Nguyễn Văn Chung,Nhạc thiếu nhi
1551,Nhớ quê,Giao Tiên,Bolero
1552,Biệt Khúc,Trần Trịnh,Bolero
1553,Sao chẳng đành quên,Dee Trần,Nhạc trẻ
1554,Nước lũ vô tình,Danh Mã Phi Hùng,Nhạc Trữ Tình
1555,Tây Kỳ Love,Sinike,pop|Sinike
1556,Xây nhà bên suối,Vinh Sử,Bolero
1557,Làm Người Yêu Anh Nhé Baby,Nguyên Jenda,Nguyên Jenda|pop
1558,Thương Mẹ,Ngô Huỳnh,Ngô Huỳnh|Bolero
1559,Hà Tĩnh mình thương,An Thuyên,Dân ca
1560,Đường đời chơi vơi,Viên Nghiệp,Bolero|Viên Nghiệp
1561,Mình mất nhau bao giờ,Lam Phương,Bolero|Lam Phương
1562,Về Thăm Chùa Xưa,Giác An,Giác An|Phật giáo
